City,Area Locality,Concatenate,Area Locality,Latitude,Longitude
Bangalore,"A Narayanapura, Mahadevapura","Bangalore, A Narayanapura, Mahadevapura",2,12.9933751,77.6734738
Bangalore,"Abbiareddy Layout, Kaggadasapura","Bangalore, Abbiareddy Layout, Kaggadasapura",1,12.9793499,77.6800964
Bangalore,Abbigere,"Bangalore, Abbigere",3,13.0762712,77.5255683
Bangalore,"Aditya Nagar-Vidyaranyapura, Vidyaranyapura","Bangalore, Aditya Nagar-Vidyaranyapura, Vidyaranyapura",1,13.0923956,77.553344
Bangalore,Adugodi,"Bangalore, Adugodi",2,12.9420036,77.6083044
Bangalore,Aduru,"Bangalore, Aduru",1,13.0554775,77.7055568
Bangalore,"Aecs Layout-Singasandra, Singasandra, Hosur Road","Bangalore, Aecs Layout-Singasandra, Singasandra, Hosur Road",3,12.8814192,77.6447362
Bangalore,Agrahara Layout,"Bangalore, Agrahara Layout",1,13.0986452,77.6279983
Bangalore,"Ags Layout, Hebbal","Bangalore, Ags Layout, Hebbal",1,13.0324054,77.5916714
Bangalore,Airport Road,"Bangalore, Airport Road",1,12.954806,77.684324
Bangalore,Akshayanagar,"Bangalore, Akshayanagar",1,12.8677991,77.6166843
Bangalore,"Ambedkar Colony, Yelahanka","Bangalore, Ambedkar Colony, Yelahanka",1,13.0900342,77.5920295
Bangalore,Amrutahalli,"Bangalore, Amrutahalli",2,13.0658792,77.6042056
Bangalore,"Ananda Puram, Jeevan Bima Nagar","Bangalore, Ananda Puram, Jeevan Bima Nagar",1,12.963536,77.6582656
Bangalore,Anantapura,"Bangalore, Anantapura",2,13.1150477,77.5683899
Bangalore,Ananth Nagar,"Bangalore, Ananth Nagar",1,12.8389444,77.6898209
Bangalore,Anjanapura,"Bangalore, Anjanapura",1,12.854938,77.5542866
Bangalore,Annapurneshwari Nagar,"Bangalore, Annapurneshwari Nagar",2,12.9705504,77.4901138
Bangalore,"Aradhana Layout, Arakere","Bangalore, Aradhana Layout, Arakere",1,12.8786403,77.5884481
Bangalore,Arakere,"Bangalore, Arakere",3,12.8873875,77.5968866
Bangalore,"Arakere Mico Layout, Arakere","Bangalore, Arakere Mico Layout, Arakere",1,12.8874717,77.5924385
Bangalore,Ashok Nagar,"Bangalore, Ashok Nagar",1,12.971885,77.6070088
Bangalore,Attibele,"Bangalore, Attibele",2,12.778963,77.7702029
Bangalore,Attiguppe,"Bangalore, Attiguppe",1,12.9597914,77.5289797
Bangalore,"Attur Layout, Yelahanka New Town","Bangalore, Attur Layout, Yelahanka New Town",1,13.1069615,77.5662992
Bangalore,B.Narayanapura,"Bangalore, B.Narayanapura",1,12.9925237,77.6808128
Bangalore,BBMP convertion layout,"Bangalore, BBMP convertion layout",1,12.9715987,77.5945627
Bangalore,Babusahib Palya,"Bangalore, Babusahib Palya",1,13.0255399,77.6471693
Bangalore,Babusapalya,"Bangalore, Babusapalya",2,13.0228229,77.6520917
Bangalore,Bagalakunte,"Bangalore, Bagalakunte",2,13.052706,77.4954875
Bangalore,Bagalur,"Bangalore, Bagalur",1,13.1325768,77.6672134
Bangalore,"Balaji Gardens Layout, Gottigere","Bangalore, Balaji Gardens Layout, Gottigere",1,12.8556594,77.5948946
Bangalore,"Balaji Layout -Hongasandra, Hongasandra","Bangalore, Balaji Layout -Hongasandra, Hongasandra",1,12.8954093,77.6236308
Bangalore,Banashankari,"Bangalore, Banashankari",4,12.9254533,77.546757
Bangalore,"Banashankari Stage 2, Banashankari","Bangalore, Banashankari Stage 2, Banashankari",2,12.9248711,77.5662406
Bangalore,"Banashankari Stage 3, Banashankari","Bangalore, Banashankari Stage 3, Banashankari",2,12.9345271,77.5435215
Bangalore,Banaswadi,"Bangalore, Banaswadi",7,13.0103761,77.6481944
Bangalore,Bangalore,"Bangalore, Bangalore",1,12.9715987,77.5945627
Bangalore,Banjara Layout,"Bangalore, Banjara Layout",1,13.0335618,77.6672294
Bangalore,Bannerghatta Main Road,"Bangalore, Bannerghatta Main Road",5,12.8394962,77.5888702
Bangalore,Basava Nagar,"Bangalore, Basava Nagar",3,12.9670863,77.6808128
Bangalore,Basavanagudi,"Bangalore, Basavanagudi",3,12.9405997,77.5737633
Bangalore,Basavanapura,"Bangalore, Basavanapura",1,13.013146,77.7130151
Bangalore,Basaveshvara Nagar,"Bangalore, Basaveshvara Nagar",3,12.9879576,77.5374662
Bangalore,Basaveshwar Nagar,"Bangalore, Basaveshwar Nagar",4,12.9879576,77.5374662
Bangalore,Basaveshwara Layout,"Bangalore, Basaveshwara Layout",1,13.04327,77.5718442
Bangalore,Battarahalli,"Bangalore, Battarahalli",3,13.0244644,77.7072675
Bangalore,Bda Layout -Lingarajapuram,"Bangalore, Bda Layout -Lingarajapuram",1,13.0060027,77.6303438
Bangalore,"Bedarahalli, Magadi Road","Bangalore, Bedarahalli, Magadi Road",1,12.9851402,77.4820775
Bangalore,Begur,"Bangalore, Begur",3,12.8787673,77.6376676
Bangalore,Begur Koppa Rd,"Bangalore, Begur Koppa Rd",1,12.8621874,77.6144586
Bangalore,Begur Road,"Bangalore, Begur Road",2,12.8890191,77.6256512
Bangalore,Benson Town,"Bangalore, Benson Town",1,13.004681,77.5999443
Bangalore,Bettadasanapura,"Bangalore, Bettadasanapura",1,12.8438478,77.6347342
Bangalore,Bhattarahalli,"Bangalore, Bhattarahalli",1,13.0175283,77.7107665
Bangalore,"Bhel Layout, Rajarajeshwari Nagar","Bangalore, Bhel Layout, Rajarajeshwari Nagar",1,12.9228497,77.5096278
Bangalore,"Bhel Township- Malleshwaram, Malleshwaram","Bangalore, Bhel Township- Malleshwaram, Malleshwaram",2,13.0099658,77.5641809
Bangalore,Bhuvaneswari Nagar,"Bangalore, Bhuvaneswari Nagar",1,13.0545047,77.6036145
Bangalore,"Bikasipura, kanakapura Road","Bangalore, Bikasipura, kanakapura Road",2,12.8889522,77.5626568
Bangalore,Bilekahalli,"Bangalore, Bilekahalli",5,12.8984604,77.6057848
Bangalore,"Bohra Layout, Gottigere, bannerghatta main Road","Bangalore, Bohra Layout, Gottigere, bannerghatta main Road",1,12.854497,77.588651
Bangalore,Bommanahalli,"Bangalore, Bommanahalli",8,12.9029804,77.6241936
Bangalore,Bommasandra,"Bangalore, Bommasandra",2,12.8167303,77.6974369
Bangalore,Btm Layout,"Bangalore, Btm Layout",7,12.9165757,77.6101163
Bangalore,"Btm Layout Stage 2, BTM Layout","Bangalore, Btm Layout Stage 2, BTM Layout",3,12.9554222,77.6509692
Bangalore,Btm Layout Stage 4,"Bangalore, Btm Layout Stage 4",2,12.8906312,77.6178125
Bangalore,Budigere Cross,"Bangalore, Budigere Cross",1,13.0638419,77.7455657
Bangalore,Byatarayanapura,"Bangalore, Byatarayanapura",3,13.0597892,77.5933367
Bangalore,"Bydara Halli, Benson Town","Bangalore, Bydara Halli, Benson Town",1,12.9979631,77.6027732
Bangalore,Byrathi,"Bangalore, Byrathi",3,13.0528869,77.6501486
Bangalore,C V Raman Nagar,"Bangalore, C V Raman Nagar",7,12.9793254,77.6641841
Bangalore,CV Raman Nagar,"Bangalore, CV Raman Nagar",1,12.9793254,77.6641841
Bangalore,Chamrajpet,"Bangalore, Chamrajpet",2,12.9569869,77.5621397
Bangalore,"Chamundeshwari Layout, Arakere","Bangalore, Chamundeshwari Layout, Arakere",2,12.8858967,77.6036684
Bangalore,"Chamundi Nagar, Rajajinagar","Bangalore, Chamundi Nagar, Rajajinagar",1,12.9812177,77.5558518
Bangalore,Chandapura,"Bangalore, Chandapura",2,12.8017099,77.7116112
Bangalore,Channasandra,"Bangalore, Channasandra",1,12.979699,77.761624
Bangalore,"Chelekare, Kalyan Nagar, Outer Ring Road","Bangalore, Chelekare, Kalyan Nagar, Outer Ring Road",1,13.0244104,77.6433213
Bangalore,"Chikbasavnapura, Krishnarajapura","Bangalore, Chikbasavnapura, Krishnarajapura",1,13.0127356,77.7044287
Bangalore,Chikkabanavara,"Bangalore, Chikkabanavara",4,13.0753965,77.5093952
Bangalore,Chikkalasandra,"Bangalore, Chikkalasandra",3,12.9120815,77.5462476
Bangalore,"Chikkalasandra, Bangalore","Bangalore, Chikkalasandra, Bangalore",1,12.9120815,77.5462476
Bangalore,"Chikkana Layout, Kammanahalli","Bangalore, Chikkana Layout, Kammanahalli",1,13.0128256,77.6400174
